======================================================================
BOUNDNESS CHECK — Particles per galaxy per snapshot
Target galaxies (selected from RR snap 19): [3700, 714, 1250, 22616, 3739, 24719, 701, 10998, 7828, 12264, 19057, 2582, 42993, 22552, 31998, 10527, 28706, 24188, 46263, 15632]
======================================================================


Per-snapshot totals (all assigned particles):
  snap  RR_total  AC_total      diff     rel_err
     0       688       688         0    0.000000
     1       789       789         0    0.000000
     2      3409      3409         0    0.000000
     3      9596      9357       239    0.024906
     4     36076     34124      1952    0.054108
     5     45408     42443      2965    0.065297
     6     50326     46597      3729    0.074097
     7     93482     77982     15500    0.165807
     8    144092    122656     21436    0.148766
     9    153131    128251     24880    0.162475
    10    173918    142539     31379    0.180424
    11    205329    172182     33147    0.161434
    12    233107    198854     34253    0.146941
    13    233137    198901     34236    0.146849
    14    292061    229432     62629    0.214438
    15    357897    263073     94824    0.264948
    16    364019    266808     97211    0.267049
    17    400322    299406    100916    0.252087
    18    448544    335527    113017    0.251964
    19    457853    344516    113337    0.247540


Per-galaxy detail (target galaxies):

Galaxy 3700:
  snap      N_rr      N_ac      diff     rel_err
     0       427       427         0    0.000000
     1         0         0         0    0.000000
     2         0         0         0    0.000000
     3       358       358         0    0.000000
     4      1373      1373         0    0.000000
     5      1372      1372         0    0.000000
     6      1378      1378         0    0.000000
     7      1396      1396         0    0.000000
     8     13973     13976         3    0.000215
     9     16791     16791         0    0.000000
    10     17707     17708         1    0.000056
    11     29265     29266         1    0.000034
    12     34401     34400         1    0.000029
    13     34895     34896         1    0.000029
    14     34980     34980         0    0.000000
    15     42566     42567         1    0.000023
    16     43869     43869         0    0.000000
    17     51175     51175         0    0.000000
    18     56492     56490         2    0.000035
    19     54604     54605         1    0.000018
  -> median_rel=0.000000  max_rel=0.000215

Galaxy 714:
  snap      N_rr      N_ac      diff     rel_err
     0       172       172         0    0.000000
     1       256       256         0    0.000000
     2      1647      1647         0    0.000000
     3      1674      1674         0    0.000000
     4      2356      2356         0    0.000000
     5      2581      2581         0    0.000000
     6      2581      2581         0    0.000000
     7      2976      2976         0    0.000000
     8      3051      3051         0    0.000000
     9      3252      3252         0    0.000000
    10      3882      3882         0    0.000000
    11      4627      4627         0    0.000000
    12      4889      4889         0    0.000000
    13      4899      4895         4    0.000816
    14     12752     14252      1500    0.105248
    15     18077     17923       154    0.008519
    16     18616     18545        71    0.003814
    17     24106     23501       605    0.025097
    18     17906     18463       557    0.030168
    19     23466     23572       106    0.004497
  -> median_rel=0.000000  max_rel=0.105248

Galaxy 1250:
  snap      N_rr      N_ac      diff     rel_err
     0         0         0         0    0.000000
     1         0         0         0    0.000000
     2         0         0         0    0.000000
     3       252       252         0    0.000000
     4      1352      1352         0    0.000000
     5      1393      1393         0    0.000000
     6      1393      1393         0    0.000000
     7      1436      1436         0    0.000000
     8      1677      1677         0    0.000000
     9      1813      1813         0    0.000000
    10      1585      1703       118    0.069289
    11       431       527        96    0.182163
    12       255       257         2    0.007782
    13       239       258        19    0.073643
    14      4894      3563      1331    0.271966
    15      7229      7443       214    0.028752
    16      7177      7253        76    0.010478
    17     11521     12243       722    0.058972
    18     22754     22242       512    0.022502
    19     19536     19470        66    0.003378
  -> median_rel=0.007782  max_rel=0.271966

Galaxy 22616:
  snap      N_rr      N_ac      diff     rel_err
     0         0         0         0    0.000000
     1         0         0         0    0.000000
     2         0         0         0    0.000000
     3         0         0         0    0.000000
     4         0         0         0    0.000000
     5         0         0         0    0.000000
     6         0         0         0    0.000000
     7         0         0         0    0.000000
     8         0         0         0    0.000000
     9         0         0         0    0.000000
    10         0         0         0    0.000000
    11         0         0         0    0.000000
    12         0         0         0    0.000000
    13         0         0         0    0.000000
    14         0         0         0    0.000000
    15     15569         0     15569    1.000000
    16     17694         0     17694    1.000000
    17     17744         0     17744    1.000000
    18     17730         0     17730    1.000000
    19     17728         0     17728    1.000000
  -> median_rel=1.000000  max_rel=1.000000

Galaxy 3739:
  snap      N_rr      N_ac      diff     rel_err
     0         0         0         0    0.000000
     1         0         0         0    0.000000
     2         0         0         0    0.000000
     3         0         0         0    0.000000
     4         0         0         0    0.000000
     5         0         0         0    0.000000
     6         0         0         0    0.000000
     7       129       129         0    0.000000
     8       271       174        97    0.357934
     9       960       963         3    0.003115
    10      1152      1152         0    0.000000
    11      1638      1638         0    0.000000
    12      1675      1675         0    0.000000
    13      1675      1675         0    0.000000
    14      2028      1827       201    0.099112
    15      4336      4336         0    0.000000
    16      4347      4347         0    0.000000
    17      5024      5020         4    0.000796
    18     12349     12346         3    0.000243
    19     16823     16822         1    0.000059
  -> median_rel=0.000000  max_rel=0.357934

Galaxy 24719:
  snap      N_rr      N_ac      diff     rel_err
     0         0         0         0    0.000000
     1         0         0         0    0.000000
     2         0         0         0    0.000000
     3         0         0         0    0.000000
     4         0         0         0    0.000000
     5         0         0         0    0.000000
     6         0         0         0    0.000000
     7         0         0         0    0.000000
     8         0         0         0    0.000000
     9         0         0         0    0.000000
    10         0         0         0    0.000000
    11         0         0         0    0.000000
    12         0         0         0    0.000000
    13         0         0         0    0.000000
    14     12450         0     12450    1.000000
    15     12212         0     12212    1.000000
    16     12072         0     12072    1.000000
    17     13153         0     13153    1.000000
    18     13449         0     13449    1.000000
    19     13550         0     13550    1.000000
  -> median_rel=1.000000  max_rel=1.000000

Galaxy 701:
  snap      N_rr      N_ac      diff     rel_err
     0         0         0         0    0.000000
     1         0         0         0    0.000000
     2         0         0         0    0.000000
     3         0         0         0    0.000000
     4         0         0         0    0.000000
     5         0         0         0    0.000000
     6      1580      1580         0    0.000000
     7      2129      2129         0    0.000000
     8      2691      2691         0    0.000000
     9      2916      2916         0    0.000000
    10      3772      3772         0    0.000000
    11      5236      5215        21    0.004011
    12      6485      6436        49    0.007556
    13      6522      6504        18    0.002760
    14     10320     10320         0    0.000000
    15     10588     10588         0    0.000000
    16     10818     10818         0    0.000000
    17     12100     12102         2    0.000165
    18     12944     12948         4    0.000309
    19     13036     13035         1    0.000077
  -> median_rel=0.000000  max_rel=0.007556

Galaxy 10998:
  snap      N_rr      N_ac      diff     rel_err
     0         0         0         0    0.000000
     1         0         0         0    0.000000
     2         0         0         0    0.000000
     3         0         0         0    0.000000
     4         0         0         0    0.000000
     5         0         0         0    0.000000
     6         0         0         0    0.000000
     7         0         0         0    0.000000
     8         0         0         0    0.000000
